id,name,category,district,address,has_address,business_status,lat,lng,opening_hours,hours_source,link_by_name,link_by_coord,osm_link,coord_dung,hours_dung,ghi_chu
way/1254526558,Cộng Cà Phê,cafe,Hai Bà Trưng,31 Phố Thái Phiên,Y,,21.0104312,105.8499519,Mo-Su 07:30-22:30,osm,https://www.google.com/maps/search/?api=1&query=31%20Ph%E1%BB%91%20Th%C3%A1i%20Phi%C3%AAn%2C%20Hai%20B%C3%A0%20Tr%C6%B0ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0104312,105.8499519",https://www.openstreetmap.org/way/1254526558,Y,Y,
node/6602496036,Pho Hùng,food,,,N,,21.0254528,105.8529542,Mo-Su 06:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=Pho%20H%C3%B9ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0254528,105.8529542",https://www.openstreetmap.org/node/6602496036,N,N,không thấy quán này đâu cả 
node/13264733257,Kimbap Cafe,food,,,N,,21.0043719,105.7939194,07:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=Kimbap%20Cafe%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0043719,105.7939194",https://www.openstreetmap.org/node/13264733257,Y,Y,
node/6068375687,Shimla Indian Restaurant,food,,7a Đường Xuân Diệu,Y,,21.0616656,105.8316398,Mo-Su 10:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=7a%20%C4%90%C6%B0%E1%BB%9Dng%20Xu%C3%A2n%20Di%E1%BB%87u%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0616656,105.8316398",https://www.openstreetmap.org/node/6068375687,Y,Y,
node/4381918992,Cà Phê Loading T,cafe,,8 Phố Chân Cầm,Y,,21.0305248,105.8485873,Mo-Su 08:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=8%20Ph%E1%BB%91%20Ch%C3%A2n%20C%E1%BA%A7m%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0305248,105.8485873",https://www.openstreetmap.org/node/4381918992,Y,N,8h-18h
node/12054550970,The Q,cafe,,29 Phố Hai Bà Trưng,Y,,21.0243159,105.8519904,Mo-Su 07:30-22:30,osm,https://www.google.com/maps/search/?api=1&query=29%20Ph%E1%BB%91%20Hai%20B%C3%A0%20Tr%C6%B0ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0243159,105.8519904",https://www.openstreetmap.org/node/12054550970,Y,N,tạm đóng
node/9998849017,VEJO - The Vege Journey,food,Phường Hoàn Kiếm,46B Phố Bát Đàn,Y,,21.0337011,105.8464019,"Mo-Su 11:00-14:00, 17:00-21:00",osm,https://www.google.com/maps/search/?api=1&query=46B%20Ph%E1%BB%91%20B%C3%A1t%20%C4%90%C3%A0n%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0337011,105.8464019",https://www.openstreetmap.org/node/9998849017,Y,N,tạm đóng
node/13671676601,Bún chả Sinh Từ,food,,62 Phố Vũ Phạm Hàm,Y,,21.0158996,105.7979683,"Mo-Su 07:30-14:00, 17:00-21:00",osm,https://www.google.com/maps/search/?api=1&query=62%20Ph%E1%BB%91%20V%C5%A9%20Ph%E1%BA%A1m%20H%C3%A0m%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0158996,105.7979683",https://www.openstreetmap.org/node/13671676601,Y,Y,
node/12372377830,Cộng Cà Phê,cafe,Nam Từ Liêm,Phố Hoàng Trọng Mậu,Y,,21.0144708,105.776872,Mo-Su 07:30-22:30,osm,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%91%20Ho%C3%A0ng%20Tr%E1%BB%8Dng%20M%E1%BA%ADu%2C%20Nam%20T%E1%BB%AB%20Li%C3%AAm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0144708,105.776872",https://www.openstreetmap.org/node/12372377830,Y,Y,
node/6224180286,Cà Phê Văn Miêu,cafe,,,N,,21.0271045,105.8357536,24/7,osm,https://www.google.com/maps/search/?api=1&query=C%C3%A0%20Ph%C3%AA%20V%C4%83n%20Mi%C3%AAu%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0271045,105.8357536",https://www.openstreetmap.org/node/6224180286,Y,,
node/4164297190,Khách Sạn Golden Diamond,lodging,Phường Hoàn Kiếm,10 Đường Trần Nhật Duật,Y,,21.0391927,105.8511387,24/7,osm,https://www.google.com/maps/search/?api=1&query=10%20%C4%90%C6%B0%E1%BB%9Dng%20Tr%E1%BA%A7n%20Nh%E1%BA%ADt%20Du%E1%BA%ADt%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0391927,105.8511387",https://www.openstreetmap.org/node/4164297190,Y,Y,
node/7117106185,Cà Phê Rang Xay CLAB,cafe,,Ngoc Khành,Y,,21.0289118,105.8079182,Mo-Su 07:00-09:00,osm,https://www.google.com/maps/search/?api=1&query=Ngoc%20Kh%C3%A0nh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0289118,105.8079182",https://www.openstreetmap.org/node/7117106185,N,N,không thấy quán này đâu cả 
node/12651916755,Galbi Roman,cafe,Ba Đình,25 Phố Phan Kế Bính,Y,,21.03535,105.8089295,10:30 - 23:00,osm,https://www.google.com/maps/search/?api=1&query=25%20Ph%E1%BB%91%20Phan%20K%E1%BA%BF%20B%C3%ADnh%2C%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.03535,105.8089295",https://www.openstreetmap.org/node/12651916755,Y,Y,
